name,id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,total_points,in_dreamteam,fixture,team,position,price,team_a,team_h,team_a_score,team_h_score,was_home,opponent,gameweek
Fábio Ferreira Vieira,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,378,Arsenal,MID,54,Arsenal,Southampton,2,1,False,Southampton,38
Gabriel Fernando de Jesus,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,378,Arsenal,FWD,65,Arsenal,Southampton,2,1,False,Southampton,38
Gabriel dos Santos Magalhães,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,378,Arsenal,DEF,61,Arsenal,Southampton,2,1,False,Southampton,38
Kai Havertz,4,19,0,0,0,0,0,0,0,0,0,0,0,3,0.2,11.9,8.0,2.0,0,0.14,0.01,0.15,0.00,0,0,0,0,0,0,0,1,False,378,Arsenal,FWD,77,Arsenal,Southampton,2,1,False,Southampton,38
Karl Hein,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,378,Arsenal,GK,40,Arsenal,Southampton,2,1,False,Southampton,38
Jurriën Timber,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,378,Arsenal,DEF,55,Arsenal,Southampton,2,1,False,Southampton,38
Jorge Luiz Frello Filho,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,378,Arsenal,MID,46,Arsenal,Southampton,2,1,False,Southampton,38
Jakub Kiwior,8,90,0,0,0,1,0,0,0,0,0,0,0,10,22.4,5.3,0.0,2.8,1,0.00,0.03,0.03,0.63,0,0,0,0,0,0,0,2,False,378,Arsenal,DEF,49,Arsenal,Southampton,2,1,False,Southampton,38
Gabriel Martinelli Silva,9,70,0,0,0,1,0,0,0,0,0,0,0,11,19.0,42.8,48.0,11.0,1,0.74,0.23,0.97,0.63,0,0,0,0,0,0,0,2,False,378,Arsenal,MID,65,Arsenal,Southampton,2,1,False,Southampton,38
Reiss Nelson,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,False,372,Fulham,MID,50,Manchester City,Fulham,2,0,True,Manchester City,38
Eddie Nketiah,11,28,0,0,0,1,0,0,0,0,0,0,0,2,2.0,0.1,17.0,1.9,0,0.22,0.00,0.22,1.23,0,0,0,0,0,0,0,1,False,374,Crystal Palace,FWD,59,Crystal Palace,Liverpool,1,1,False,Liverpool,38
Ethan Nwaneri,12,74,0,0,0,1,0,0,0,0,0,0,0,17,15.0,50.3,25.0,9.0,1,0.04,0.13,0.17,0.63,0,0,0,0,0,0,0,2,False,378,Arsenal,MID,43,Arsenal,Southampton,2,1,False,Southampton,38
Martin Ødegaard,13,15,1,0,0,0,0,0,0,0,0,0,1,26,35.2,2.9,9.0,4.7,0,0.06,0.03,0.09,0.00,0,0,0,0,0,0,0,7,False,378,Arsenal,MID,82,Arsenal,Southampton,2,1,False,Southampton,38
Aaron Ramsdale,14,90,0,0,0,2,0,0,0,0,0,6,0,12,42.6,0.0,0.0,4.3,1,0.00,0.00,0.00,2.20,0,0,0,0,0,0,0,3,False,378,Southampton,GK,44,Arsenal,Southampton,2,1,True,Arsenal,38
