name,id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,fixture,team,position,price,team_a,team_h,team_a_score,team_h_score,was_home,opponent,gameweek
David Raya Martín,1,90,0,0,1,0,0,0,0,0,0,3,2,29,23.2,0.0,0.0,2.3,1,0.00,0.00,0.00,1.15,9,False,360,Arsenal,GK,61,Arsenal,West Ham,1,0,False,West Ham,36
Kepa Arrizabalaga Revuelta,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,360,Arsenal,GK,40,Arsenal,West Ham,1,0,False,West Ham,36
Karl Hein,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,360,Arsenal,GK,40,Arsenal,West Ham,1,0,False,West Ham,36
Tommy Setford,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,360,Arsenal,GK,39,Arsenal,West Ham,1,0,False,West Ham,36
Gabriel dos Santos Magalhães,5,90,0,0,1,0,0,0,0,0,0,0,3,32,30.6,1.2,16.0,4.8,1,0.30,0.01,0.31,1.15,11,False,360,Arsenal,DEF,72,Arsenal,West Ham,1,0,False,West Ham,36
William Saliba,6,90,0,0,1,0,0,0,0,1,0,0,0,26,22.2,3.2,8.0,3.3,1,0.00,0.16,0.16,1.15,5,False,360,Arsenal,DEF,62,Arsenal,West Ham,1,0,False,West Ham,36
Riccardo Calafiori,7,45,0,0,0,0,0,0,0,0,0,0,0,-1,0.4,1.4,15.0,1.7,1,0.21,0.02,0.23,0.15,1,False,360,Arsenal,DEF,56,Arsenal,West Ham,1,0,False,West Ham,36
Jurriën Timber,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,360,Arsenal,DEF,60,Arsenal,West Ham,1,0,False,West Ham,36
Jakub Kiwior,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,360,Arsenal,DEF,54,Arsenal,West Ham,1,0,False,West Ham,36
Myles Lewis-Skelly,10,90,0,0,1,0,0,0,0,0,0,0,0,23,6.4,5.1,2.0,1.4,1,0.00,0.02,0.02,1.15,6,False,360,Arsenal,DEF,50,Arsenal,West Ham,1,0,False,West Ham,36
Benjamin White,11,27,0,0,0,0,0,0,0,0,0,0,0,3,0.2,2.8,0.0,0.3,1,0.00,0.01,0.01,0.00,1,False,360,Arsenal,DEF,51,Arsenal,West Ham,1,0,False,West Ham,36
Oleksandr Zinchenko,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,357,Nottingham,DEF,49,Newcastle,Nottingham,1,1,True,Newcastle,36
Brayden Clarke,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,360,Arsenal,DEF,37,Arsenal,West Ham,1,0,False,West Ham,36
