name,id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,fixture,team,position,price,team_a,team_h,team_a_score,team_h_score,was_home,opponent,gameweek
David Raya Martín,1,90,0,0,1,0,0,0,0,0,0,1,0,22,11.8,0.1,0.0,1.2,1,0.00,0.00,0.00,0.37,6,False,341,Arsenal,GK,61,Fulham,Arsenal,0,3,True,Fulham,35
Kepa Arrizabalaga Revuelta,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,341,Arsenal,GK,40,Fulham,Arsenal,0,3,True,Fulham,35
Karl Hein,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,341,Arsenal,GK,40,Fulham,Arsenal,0,3,True,Fulham,35
Tommy Setford,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,341,Arsenal,GK,39,Fulham,Arsenal,0,3,True,Fulham,35
Gabriel dos Santos Magalhães,5,90,0,0,1,0,0,0,0,0,0,0,0,27,23.6,2.1,52.0,7.8,1,0.64,0.02,0.66,0.37,6,False,341,Arsenal,DEF,72,Fulham,Arsenal,0,3,True,Fulham,35
William Saliba,6,90,0,0,1,0,0,0,0,0,0,0,0,27,22.2,24.4,6.0,5.3,1,0.00,0.31,0.31,0.37,6,False,341,Arsenal,DEF,62,Fulham,Arsenal,0,3,True,Fulham,35
Riccardo Calafiori,7,90,0,0,1,0,0,0,0,0,0,0,0,20,25.2,12.6,39.0,7.7,1,0.23,0.02,0.25,0.37,6,False,341,Arsenal,DEF,56,Fulham,Arsenal,0,3,True,Fulham,35
Jurriën Timber,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,341,Arsenal,DEF,60,Fulham,Arsenal,0,3,True,Fulham,35
Jakub Kiwior,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,341,Arsenal,DEF,54,Fulham,Arsenal,0,3,True,Fulham,35
Myles Lewis-Skelly,10,90,0,0,1,0,0,0,0,0,0,0,0,28,11.6,15.5,2.0,2.9,1,0.00,0.07,0.07,0.37,6,False,341,Arsenal,DEF,50,Fulham,Arsenal,0,3,True,Fulham,35
Benjamin White,11,82,0,0,1,0,0,0,0,0,0,0,0,27,12.0,14.8,6.0,3.3,1,0.00,0.14,0.14,0.37,6,False,341,Arsenal,DEF,51,Fulham,Arsenal,0,3,True,Fulham,35
Oleksandr Zinchenko,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,345,Nottingham,DEF,49,Nottingham,Chelsea,3,1,False,Chelsea,35
Brayden Clarke,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,341,Arsenal,DEF,37,Fulham,Arsenal,0,3,True,Fulham,35
Maldini Kacurri,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,341,Arsenal,DEF,39,Fulham,Arsenal,0,3,True,Fulham,35
Josh Nichols,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,341,Arsenal,DEF,37,Fulham,Arsenal,0,3,True,Fulham,35
Bukayo Saka,16,45,1,1,0,0,0,0,0,0,0,0,2,46,55.2,49.3,25.0,13.0,1,0.30,0.86,1.16,0.03,11,True,341,Arsenal,MID,99,Fulham,Arsenal,0,3,True,Fulham,35
Martin Ødegaard,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,341,Arsenal,MID,78,Fulham,Arsenal,0,3,True,Fulham,35
Noni Madueke,18,45,0,0,0,0,0,0,0,0,0,0,0,4,0.6,15.5,2.0,1.8,0,0.00,0.24,0.24,0.34,1,False,341,Arsenal,MID,68,Fulham,Arsenal,0,3,True,Fulham,35
Gabriel Martinelli Silva,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,341,Arsenal,MID,68,Fulham,Arsenal,0,3,True,Fulham,35
Leandro Trossard,20,90,0,1,1,0,0,0,0,0,0,0,1,41,31.0,36.3,35.0,10.2,1,0.11,0.64,0.75,0.37,7,False,341,Arsenal,MID,65,Fulham,Arsenal,0,3,True,Fulham,35
Declan Rice,21,63,0,0,1,0,0,0,0,0,0,0,0,14,13.0,6.9,2.0,2.2,1,0.00,0.05,0.05,0.20,5,False,341,Arsenal,MID,72,Fulham,Arsenal,0,3,True,Fulham,35
Mikel Merino Zazón,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,341,Arsenal,MID,54,Fulham,Arsenal,0,3,True,Fulham,35
Fábio Ferreira Vieira,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,341,Arsenal,MID,54,Fulham,Arsenal,0,3,True,Fulham,35
Christian Nørgaard,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,341,Arsenal,MID,51,Fulham,Arsenal,0,3,True,Fulham,35
Ethan Nwaneri,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,341,Arsenal,MID,50,Fulham,Arsenal,0,3,True,Fulham,35
Martín Zubimendi Ibáñez,26,26,0,0,0,0,0,0,0,0,0,0,0,5,4.6,10.3,0.0,1.5,0,0.00,0.00,0.00,0.17,1,False,341,Arsenal,MID,50,Fulham,Arsenal,0,3,True,Fulham,35
Reiss Nelson,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,344,Brentford,MID,48,West Ham,Brentford,0,3,True,West Ham,35
Ismeal Kabia,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,341,Arsenal,MID,45,Fulham,Arsenal,0,3,True,Fulham,35
Albert Sambi Lokonga,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,341,Arsenal,MID,45,Fulham,Arsenal,0,3,True,Fulham,35
Kai Havertz,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,341,Arsenal,FWD,73,Fulham,Arsenal,0,3,True,Fulham,35
Gabriel Fernando de Jesus,31,26,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.2,0,0.00,0.00,0.00,0.17,1,False,341,Arsenal,FWD,64,Fulham,Arsenal,0,3,True,Fulham,35
Emiliano Martínez Romero,32,90,0,0,0,2,0,0,0,0,0,3,0,10,23.4,0.0,0.0,2.3,1,0.00,0.00,0.00,0.99,2,False,342,Aston Villa,GK,51,Tottenham,Aston Villa,2,1,True,Tottenham,35
Marco Bizot,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,342,Aston Villa,GK,42,Tottenham,Aston Villa,2,1,True,Tottenham,35
Joe Gauci,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,342,Aston Villa,GK,40,Tottenham,Aston Villa,2,1,True,Tottenham,35
Filip Marschall,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,342,Aston Villa,GK,40,Tottenham,Aston Villa,2,1,True,Tottenham,35
Matty Cash,36,90,0,1,0,2,0,0,0,0,0,0,1,25,41.4,16.2,0.0,5.8,1,0.00,0.07,0.07,0.99,5,False,342,Aston Villa,DEF,47,Tottenham,Aston Villa,2,1,True,Tottenham,35
Lucas Digne,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,342,Aston Villa,DEF,45,Tottenham,Aston Villa,2,1,True,Tottenham,35
Ezri Konsa Ngoyo,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,342,Aston Villa,DEF,44,Tottenham,Aston Villa,2,1,True,Tottenham,35
Ian Maatsen,39,90,0,0,0,2,0,0,0,0,0,0,0,-6,6.0,10.9,4.0,2.1,1,0.00,0.00,0.00,0.99,1,False,342,Aston Villa,DEF,42,Tottenham,Aston Villa,2,1,True,Tottenham,35
Tyrone Mings,40,90,0,0,0,2,0,0,0,0,0,0,0,3,4.2,1.8,7.0,1.3,1,0.22,0.01,0.23,0.99,1,False,342,Aston Villa,DEF,43,Tottenham,Aston Villa,2,1,True,Tottenham,35
Pau Torres,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,342,Aston Villa,DEF,43,Tottenham,Aston Villa,2,1,True,Tottenham,35
Andrés García,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,342,Aston Villa,DEF,39,Tottenham,Aston Villa,2,1,True,Tottenham,35
Álex Moreno Lopera,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,342,Aston Villa,DEF,40,Tottenham,Aston Villa,2,1,True,Tottenham,35
Lamare Bogarde,44,90,0,0,0,2,0,0,0,0,0,0,0,4,9.6,1.3,0.0,1.1,1,0.00,0.00,0.00,0.99,1,False,342,Aston Villa,DEF,40,Tottenham,Aston Villa,2,1,True,Tottenham,35
Lino da Cruz Sousa,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,342,Aston Villa,DEF,38,Tottenham,Aston Villa,2,1,True,Tottenham,35
Yasin Özcan,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,342,Aston Villa,DEF,40,Tottenham,Aston Villa,2,1,True,Tottenham,35
Morgan Rogers,47,90,0,0,0,2,0,0,0,1,0,0,0,8,10.6,4.0,12.0,2.7,1,0.03,0.00,0.03,0.99,1,False,342,Aston Villa,MID,75,Tottenham,Aston Villa,2,1,True,Tottenham,35
Youri Tielemans,48,90,0,0,0,2,0,0,0,0,0,0,0,13,8.4,1.6,2.0,1.2,1,0.00,0.02,0.02,0.99,2,False,342,Aston Villa,MID,59,Tottenham,Aston Villa,2,1,True,Tottenham,35
Leon Bailey,49,5,0,0,0,0,0,0,0,0,0,0,0,7,3.4,14.4,0.0,1.8,0,0.00,0.22,0.22,0.00,1,False,342,Aston Villa,MID,55,Tottenham,Aston Villa,2,1,True,Tottenham,35
Emiliano Buendía Stati,50,5,1,0,0,0,0,0,0,0,0,0,0,23,35.0,0.0,17.0,5.2,0,0.06,0.00,0.06,0.00,6,False,342,Aston Villa,MID,53,Tottenham,Aston Villa,2,1,True,Tottenham,35
Samuel Iling-Junior,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,342,Aston Villa,MID,55,Tottenham,Aston Villa,2,1,True,Tottenham,35
Jacob Ramsey,52,1,0,0,0,0,0,0,0,0,0,0,0,4,1.0,0.5,2.0,0.4,0,0.00,0.00,0.00,0.00,1,False,349,Newcastle,MID,53,Brighton,Newcastle,1,3,True,Brighton,35
Donyell Malen,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,342,Aston Villa,MID,51,Tottenham,Aston Villa,2,1,True,Tottenham,35
John McGinn,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,342,Aston Villa,MID,53,Tottenham,Aston Villa,2,1,True,Tottenham,35
Ross Barkley,55,84,0,0,0,2,0,0,0,1,0,0,0,-4,0.0,13.8,0.0,1.3,1,0.00,0.01,0.01,0.99,1,False,342,Aston Villa,MID,48,Tottenham,Aston Villa,2,1,True,Tottenham,35
Enzo Barrenechea,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,342,Aston Villa,MID,50,Tottenham,Aston Villa,2,1,True,Tottenham,35
Lewis Dobbin,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,342,Aston Villa,MID,50,Tottenham,Aston Villa,2,1,True,Tottenham,35
Boubacar Kamara,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,342,Aston Villa,MID,49,Tottenham,Aston Villa,2,1,True,Tottenham,35
Amadou Onana,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,342,Aston Villa,MID,48,Tottenham,Aston Villa,2,1,True,Tottenham,35
Ben Broggio,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False,342,Aston Villa,MID,44,Tottenham,Aston Villa,2,1,True,Tottenham,35
